Moisture,min-M,rain
49,32,0
60,40,0
63,42,0
53,33,0
61,34,1
44,31,0
71,49,1
97,89,1
47,30,0
59,39,0
68,51,0
72,51,0
68,40,0
71,46,0
87,52,1
49,30,0
59,42,0
84,59,1
64,36,0
62,32,0
46,29,0
55,43,0
84,64,1
73,44,0
47,31,0
78,50,1
72,56,1
98,95,1
83,55,1
61,35,0
44,25,0
40,26,0
40,24,0
52,38,0
54,33,0
49,22,0
34,18,0
48,28,0
45,29,0
37,24,0
46,33,0
46,27,0
51,37,0
61,39,0
75,53,0
66,39,0
91,67,1
86,41,0
44,20,0
44,28,0
58,43,0
64,41,0
77,44,1
35,19,0
50,30,0
60,38,0
88,73,1
49,25,0
48,24,0
64,45,1
65,31,1
94,65,1
59,27,0
85,62,1
53,18,1
33,20,0
68,42,1
94,86,1
79,59,0
97,86,1
58,33,0
48,25,0
62,32,0
88,55,1
67,37,0
55,25,0
47,31,0
52,29,0
65,35,1
48,21,0
44,27,0
49,31,0
59,40,0
44,26,0
45,20,0
50,30,0
69,50,0
83,47,1
96,86,1
72,58,0
79,65,0
97,89,1
45,26,0
50,26,0
62,31,0
73,53,0
43,22,0
50,30,0
60,37,0
62,30,1
49,23,0
48,29,1
84,60,1
97,90,1
54,28,1
48,32,0
66,49,1
62,46,1
96,79,1
64,32,0
94,71,1
82,63,0
65,39,0
56,28,1
55,30,1
61,29,0
52,28,0
78,49,1
85,52,1
69,43,0
66,45,0
67,45,0
73,49,0
70,47,0
87,67,1
73,47,0
90,64,1
61,23,1
48,24,0
64,44,0
82,66,1
80,57,1
75,56,0
55,24,0
40,24,0
52,32,0
89,54,1
74,46,0
91,77,1
97,83,1
90,72,1
89,76,1
89,76,1
86,65,0
75,50,0
72,54,0
87,69,1
81,56,0
69,39,1
65,25,0
71,43,0
73,49,0
93,70,1
87,66,0
76,51,0
79,55,0
74,47,0
77,55,1
67,42,1
73,56,0
68,41,0
65,37,0
85,62,1
84,61,1
99,95,1
99,88,1
81,43,0
68,45,0
63,42,0
82,59,1
99,96,1
76,53,0
83,63,1
95,89,1
86,61,1
84,66,0
94,80,1
85,61,0
83,68,0
96,81,1
69,46,0
90,66,1
89,78,1
72,48,1
80,58,1
90,68,1
87,70,1
92,75,1
84,76,1
83,70,1
96,75,1
90,74,1
82,64,1
81,49,1
90,71,1
97,89,1
97,91,1
86,68,1
98,86,1
100,93,1
90,68,0
80,55,0
88,73,1
89,75,0
99,90,1
94,76,0
98,87,1
95,63,1
88,66,1
90,67,1
87,74,0
84,69,0
90,70,1
77,55,1
75,48,0
74,47,0
77,51,0
76,50,0
79,60,0
71,48,0
79,64,0
77,51,0
73,55,0
67,51,0
79,56,1
82,53,1
78,55,0
76,57,0
74,57,0
76,50,0
71,53,0
72,51,0
74,51,0
72,32,0
75,36,0
87,72,1
79,53,0
75,56,0
77,52,0
79,58,0
76,58,0
73,55,0
73,47,0
80,61,1
85,70,1
93,69,1
85,65,1
76,53,0
79,57,1
94,75,1
93,75,1
73,53,0
72,48,1
80,62,0
79,59,0
97,76,1
89,70,1
86,71,1
82,60,1
81,63,1
88,67,0
74,57,0
78,72,0
80,65,1
78,51,1
76,53,1
95,86,1
92,71,1
95,77,1
97,86,1
88,67,1
71,41,0
67,53,0
66,36,0
85,60,1
72,38,0
74,45,0
77,60,0
81,69,0
52,40,0
73,43,1
99,95,1
99,96,1
100,99,1
91,74,1
87,71,0
79,61,0
67,56,0
83,63,1
59,37,0
93,67,1
83,54,1
89,59,1
75,48,0
69,42,0
70,54,0
93,73,1
56,39,0
55,30,0
65,32,0
65,49,0
73,53,0
55,32,0
47,35,0
54,35,0
69,46,0
78,56,1
92,71,1
47,27,0
56,31,0
67,53,0
77,57,0
75,47,1
44,28,0
50,28,0
48,31,0
63,52,0
67,49,0
56,28,0
65,48,0
66,48,0
62,39,0
77,52,0
74,58,0
73,64,0
46,26,0
66,48,0
54,31,0
56,40,0
94,86,1
81,43,0
78,69,0
56,32,0
56,37,0
69,43,0
66,42,0
81,60,1
91,80,0
61,31,0
86,50,1
80,51,0
71,40,0
66,37,0
61,51,0
72,54,0
76,56,0
70,54,0
72,40,0
62,39,0
45,28,0
43,22,0
42,15,0
52,32,0
48,29,0
45,24,0
40,22,0
61,33,0
54,29,0
56,32,0
49,33,0
51,28,0
59,30,0
72,49,0
66,51,0
68,36,1
34,21,0
40,22,0
