,千人当た,人口,人口密度,高齢化率,県庁所在地,4時間到達,平均気温,最高気温,最低気温,平均湿度,快晴日数
北海道,3.59,5382,68.6,29.09,1759.6 ,6.33,9.3,28.3,-5.9,66,16
青森県,0.63,1308,135.6,30.15,331.2 ,6.52,11,28.7,-3,76,13
岩手県,0.43,1280,83.8,30.41,328.6 ,13.27,11.2,30.5,-3.6,74,11
宮城県,1.59,2334,320.5,25.74,1388.7 ,15.37,13.5,29.9,-0.8,68,12
秋田県,0.26,1023,87.9,33.92,335.6 ,5.72,12.5,31.4,-1.7,74,9
山形県,0.48,1124,120.5,30.84,650.4 ,7.12,12.7,31.4,-2.1,71,11
福島県,1.08,1914,138.9,28.72,371.5 ,14.75,14.2,31.6,-0.6,69,11
茨城県,2.04,2917,478.4,26.73,1239.4 ,6.12,14.8,30.5,-1,74,31
栃木県,2.1,1974,308.1,25.91,1244.7 ,15.62,14.8,31.4,-1.6,68,34
群馬県,2.32,1973,310.1,27.57,1065.1 ,11.55,15.6,31.5,-0.2,63,46
埼玉県,4.1,7267,1913.4,24.83,6065.2 ,17.71,15.9,32.3,-0.5,63,56
千葉県,4.34,6223,1206.5,25.89,3612.0 ,9.54,16.8,31.2,3,67,19
東京都,8.36,13515,6168.7,22.68,18980.0 ,19.76,16.4,31.6,1.8,69,24
神奈川県,4.98,9126,3777.7,23.86,8582.0 ,14.42,16.9,31.3,3.4,70,24
新潟県,0.48,2304,183.1,29.83,1091.7 ,9.11,14.5,31.1,0.7,74,10
富山県,0.85,1066,251,30.64,333.4 ,10.17,15.2,31.3,1,72,15
石川県,1.63,1154,275.7,27.88,986.6 ,10.14,15.7,31.8,1.5,70,11
福井県,0.69,787,187.7,28.72,486.8 ,8.69,15.6,32.3,1,72,12
山梨県,1.13,835,187,28.45,882.4 ,6.27,15.7,33.4,-2.3,63,28
長野県,1.13,2099,154.8,30.08,441.1 ,12.77,13.1,31.9,-3.8,73,16
岐阜県,2.34,2032,191.3,28.07,1965.0 ,12.3,16.9,34.3,1.7,65,36
静岡県,1.41,3700,475.8,27.81,486.9 ,12.23,17.6,32.3,2.3,69,40
愛知県,3.48,7483,1446.7,23.82,7130.6 ,17.45,17,33.8,1.9,65,32
三重県,1.41,1816,314.5,27.95,384.0 ,8.47,16.9,32.2,2.9,66,34
滋賀県,1.8,1413,351.7,24.29,737.6 ,13.15,15.8,32.9,1.4,73,23
京都府,3.48,2610,566,27.57,1761.1 ,16.93,17.1,34.7,2,66,12
大阪府,5.38,8839,4639.8,26.23,12209.3 ,15.57,17.7,35,3.4,65,15
兵庫県,3.27,5535,658.8,27.14,2722.8 ,12.57,17.8,33.7,3.9,65,14
奈良県,2.48,1364,369.6,28.72,1274.6 ,8.61,16,34.3,0.5,76,15
和歌山県,1.21,964,203.9,30.87,1695.1 ,5.26,17.7,33.9,3.6,68,17
鳥取県,0.37,573,163.5,29.74,245.2 ,4.08,16,33,1.3,75,9
島根県,0.41,694,103.5,32.47,353.1 ,3.22,15.9,32.2,1.5,78,14
岡山県,1.31,1922,270.1,28.69,911.8 ,15.57,16.6,34.3,0.8,72,25
広島県,1.77,2844,335.4,27.53,1322.0 ,13.39,17.2,34.3,2.3,65,20
山口県,0.99,1405,229.8,32.15,189.6 ,6.28,16.5,34.2,0.7,78,23
徳島県,0.61,756,182.3,31,1329.3 ,2.78,17.6,33.9,3.5,71,19
香川県,0.78,976,520.2,29.95,1112.8 ,6.83,17.5,34.5,2.8,69,18
愛媛県,0.77,1385,244.1,30.66,1181.7 ,3.84,17.6,34,3.2,70,17
高知県,1.24,728,102.5,32.78,1056.9 ,3.9,18.1,33.7,2.7,71,31
福岡県,3.56,5102,1023.1,25.9,4666.1 ,11.11,18.1,34.3,4.2,73,15
佐賀県,1.29,833,341.2,27.7,538.6 ,6.69,17.9,35,2.6,73,24
長崎県,1.17,1377,333.3,29.66,1001.1 ,2.69,18.1,33.7,4.2,75,20
熊本県,1.93,1786,241.1,28.8,1892.2 ,7.66,18,35.1,2.2,75,22
大分県,1.11,1166,183.9,30.39,950.3 ,4.42,17.6,33.9,2.8,72,24
宮崎県,1.77,1104,142.7,29.57,617.5 ,4.11,18.6,32.7,3.9,77,40
鹿児島県,1.07,1648,179.4,29.44,1085.2 ,5.18,19.6,34.4,5.4,75,24
沖縄県,5.77,1434,628.4,19.75,7642.1 ,2.34,24.1,32.6,14.4,74,4
